model,beta,bias,alpha,weights,num_manipulated,num_improved,improvement_rate
Strategic (f*_s),1.0,-1.9007951021194458,"[1.0, 0.800000011920929, 0.5]","[0.5905163288116455, 1.167862057685852, 0.9325269460678101]",25664,8047,0.31355205735660846
Strat-Imp-Aware (f*_imp),1.0,-1.7201567888259888,"[1.0, 0.800000011920929, 0.5]","[0.4391319155693054, 1.2885971069335938, 0.8310676217079163]",24582,7856,0.3195834350337645
Optimal Linear classifier (f*),1.0,-0.1466219127178192,"[1.0, 0.5, 0.5]","[0.5624904632568359, 1.0959298610687256, 0.8758582472801208]",21789,6752,0.30988113268162837
Strategic (f*_s),1.0,-2.4328761100769043,"[1.0, 0.5, 0.5]","[0.5835691690444946, 1.1864289045333862, 0.8733589053153992]",28630,8632,0.3015019210618233
Strat-Imp-Aware (f*_imp),1.0,-2.6848630905151367,"[1.0, 0.5, 0.5]","[0.41746044158935547, 1.3726314306259155, 0.9007387161254883]",30682,9623,0.3136366599309041
Optimal Linear classifier (f*),1.0,-0.1466219127178192,"[1.0, 0.5, 0.699999988079071]","[0.5624904632568359, 1.0959298610687256, 0.8758582472801208]",21789,6752,0.30988113268162837
Strategic (f*_s),1.0,-2.434046983718872,"[1.0, 0.5, 0.699999988079071]","[0.5837205052375793, 1.1876219511032104, 0.8735768795013428]",28648,8642,0.3016615470538956
Strat-Imp-Aware (f*_imp),1.0,-2.6836936473846436,"[1.0, 0.5, 0.699999988079071]","[0.40586259961128235, 1.3758127689361572, 0.897298276424408]",30866,9724,0.3150392017106201
Optimal Linear classifier (f*),1.0,-0.1466219127178192,"[1.0, 0.699999988079071, 0.5]","[0.5624904632568359, 1.0959298610687256, 0.8758582472801208]",19264,6232,0.3235049833887043
Strategic (f*_s),1.0,-1.903907299041748,"[1.0, 0.699999988079071, 0.5]","[0.5890412330627441, 1.1662240028381348, 0.9352229237556458]",25791,8095,0.31386917917102863
Strat-Imp-Aware (f*_imp),1.0,-1.9221792221069336,"[1.0, 0.699999988079071, 0.5]","[0.4257291853427887, 1.3015719652175903, 0.9120844602584839]",25574,7744,0.30280753890670215
Optimal Linear classifier (f*),1.0,-0.1466219127178192,"[1.0, 0.699999988079071, 0.30000001192092896]","[0.5624904632568359, 1.0959298610687256, 0.8758582472801208]",24435,8198,0.3355023531819112
Strategic (f*_s),1.0,-3.12113094329834,"[1.0, 0.699999988079071, 0.30000001192092896]","[0.5830009579658508, 1.1689627170562744, 0.8478037118911743]",26433,6985,0.2642530170620058
Strat-Imp-Aware (f*_imp),1.0,-2.519498348236084,"[1.0, 0.699999988079071, 0.30000001192092896]","[0.47712260484695435, 1.2671135663986206, 0.7988020777702332]",32037,10504,0.3278708992727159
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[1.0, 0.699999988079071, 0.30000001192092896]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",28146,12090,0.4295459390321893
Strategic (f*_s),1.0,-3.3303794860839844,"[1.0, 0.699999988079071, 0.30000001192092896]","[0.5570192337036133, 1.1730754375457764, 0.8969497084617615]",25934,6650,0.25642014344104264
Strat-Imp-Aware (f*_imp),1.0,-2.981088161468506,"[1.0, 0.699999988079071, 0.30000001192092896]","[0.566620945930481, 1.3889909982681274, 0.9429645538330078]",32225,10496,0.3257098525989139
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[1.0, 0.6000000238418579, 0.30000001192092896]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",28146,12090,0.4295459390321893
Strategic (f*_s),1.0,-3.330156087875366,"[1.0, 0.6000000238418579, 0.30000001192092896]","[0.5569259524345398, 1.1718312501907349, 0.8947474956512451]",25856,6617,0.2559173886138614
Strat-Imp-Aware (f*_imp),1.0,-2.983053684234619,"[1.0, 0.6000000238418579, 0.30000001192092896]","[0.5515650510787964, 1.397080421447754, 0.9305693507194519]",31845,10291,0.32315905165646097
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[1.0, 0.30000001192092896, 0.5]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",30521,11590,0.379738540676911
Strategic (f*_s),1.0,-4.422436714172363,"[1.0, 0.30000001192092896, 0.5]","[0.5586987733840942, 1.227149248123169, 0.8653531670570374]",26886,6984,0.25976344565945103
Strat-Imp-Aware (f*_imp),1.0,-4.699066638946533,"[1.0, 0.30000001192092896, 0.5]","[0.5324563980102539, 1.4448195695877075, 1.002752661705017]",32942,10397,0.3156153239026167
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[1.0, 0.10000000149011612, 0.5]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",32369,12388,0.3827118539343199
Strategic (f*_s),1.0,-13.477279663085938,"[1.0, 0.10000000149011612, 0.5]","[0.7837879061698914, 1.4308090209960938, 1.147781491279602]",40027,17024,0.42531291378319636
Strat-Imp-Aware (f*_imp),1.0,-4.270843029022217,"[1.0, 0.10000000149011612, 0.5]","[0.9712598919868469, 0.4701647162437439, 1.1939260959625244]",35486,13973,0.3937609197993575
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",32098,12266,0.3821421895445199
Strategic (f*_s),1.0,-6.426509380340576,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.5517470836639404, 1.1901073455810547, 0.8580153584480286]",24440,6307,0.2580605564648118
Strat-Imp-Aware (f*_imp),1.0,-0.6506043672561646,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.16175055503845215, 0.3618926405906677, 0.9963077306747437]",36757,17253,0.469379982044236536757
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[0.800000011920929, 0.20000000298023224, 0.800000011920929]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",32098,12266,0.3821421895445199
Strategic (f*_s),1.0,-6.427292346954346,"[0.800000011920929, 0.20000000298023224, 0.800000011920929]","[0.5533491373062134, 1.1873334646224976, 0.8566760420799255]",24051,6160,0.2561224065527421
Strat-Imp-Aware (f*_imp),1.0,-0.6598840951919556,"[0.800000011920929, 0.20000000298023224, 0.800000011920929]","[0.18821772933006287, 0.3633953630924225, 1.0067635774612427]",36457,17183,0.47132237978988945
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[0.800000011920929, 0.800000011920929, 0.20000000298023224]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",30997,13699,0.4419459947736878
Strategic (f*_s),1.0,-4.782736778259277,"[0.800000011920929, 0.800000011920929, 0.20000000298023224]","[0.5561609268188477, 1.1796083450317383, 0.8659658432006836]",24567,6056,0.2465095453250295
Strat-Imp-Aware (f*_imp),1.0,-4.484256267547607,"[0.800000011920929, 0.800000011920929, 0.20000000298023224]","[0.5748147368431091, 1.408056378364563, 0.8903107047080994]",31421,9513,0.30275930110435695
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[0.800000011920929, 0.20000000298023224, 0.20000000298023224]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",32098,12266,0.3821421895445199
Strategic (f*_s),1.0,-6.424637794494629,"[0.800000011920929, 0.20000000298023224, 0.20000000298023224]","[0.5519909858703613, 1.190132737159729, 0.8628460764884949]",24505,6332,0.25839624566415015
Strat-Imp-Aware (f*_imp),1.0,-6.372464179992676,"[0.800000011920929, 0.20000000298023224, 0.20000000298023224]","[0.6946132779121399, 1.2810877561569214, 1.0311436653137207]",32264,10030,0.3108727994049095
Optimal Linear classifier (f*),1.0,-0.450680673122406,"[10.0, 0.20000000298023224, 10.0]","[0.5545641779899597, 1.1785452365875244, 0.8660470843315125]",32098,12266,0.3821421895445199
Strategic (f*_s),1.0,-6.422553062438965,"[10.0, 0.20000000298023224, 10.0]","[0.551227867603302, 1.1909488439559937, 0.8608937859535217]",24553,6351,0.2586649289292551
Strat-Imp-Aware (f*_imp),1.0,-0.6419621109962463,"[10.0, 0.20000000298023224, 10.0]","[0.15296921133995056, 0.3292514681816101, 0.9726051092147827]",36083,16835,0.4665632015076352
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",32102,12020,0.3744314995950408
Strategic (f*_s),1.0,-6.428250312805176,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.5515921115875244, 1.1910213232040405, 0.8600403070449829]",24514,6379,0.2602186505670229
Strat-Imp-Aware (f*_imp),1.0,-0.9055454134941101,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.138420969247818, 0.33071064949035645, 0.992563784122467]",36743,16589,0.45148735813624363
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",32102,12020,0.3744314995950408
Strategic (f*_s),1.0,-6.424968719482422,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.5550252199172974, 1.1878089904785156, 0.85965895652771]",24067,6207,0.25790501516599496
Strat-Imp-Aware (f*_imp),1.0,-1.8275953531265259,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.10693231225013733, 0.5981523990631104, 1.1309362649917603]",43048,18931,0.43976491358483555
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",32102,12083,0.3763939941436671
Strategic (f*_s),1.0,-6.424968719482422,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.5550252199172974, 1.1878089904785156, 0.85965895652771]",24067,6245,0.25948394066564173
Strat-Imp-Aware (f*_imp),1.0,-0.9385142922401428,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.05007511004805565, 0.40928342938423157, 0.8831622004508972]",41604,19435,0.46714258244399576
Optimal Linear classifier (f*),1.0,-0.4508775472640991,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.5537921786308289, 1.179265022277832, 0.8661567568778992]",32102,12270,0.3822191763753037
Strategic (f*_s),1.0,-6.428250312805176,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.5515921115875244, 1.1910213232040405, 0.8600403070449829]",24514,6336,0.25846455086889125
Strat-Imp-Aware (f*_imp),1.0,-0.39817118644714355,"[1.0, 0.20000000298023224, 0.800000011920929]","[0.008005333133041859, 0.3009800910949707, 0.042654186487197876]",54561,20085,0.36812008577555394
